cycle,range_bin,doppler_bin,output_hex
1421025000,57,29,fe0a016d
1421035000,57,30,0132fe5c
1421045000,57,31,002c01ff
1426115000,58,0,ff7600a3
1426125000,58,1,0004ffae
1426135000,58,2,01c10065
1426145000,58,3,fbdcfe51
1426155000,58,4,031a01b7
1426165000,58,5,fee2fe53
1426175000,58,6,008f0186
1426185000,58,7,fe36017b
1426195000,58,8,024efde3
1426205000,58,9,ffa600f5
1426215000,58,10,004e00e6
1426225000,58,11,fec0fe3d
1426235000,58,12,01c30109
1426245000,58,13,ff02ff4b
1426255000,58,14,ffe500cf
1426265000,58,15,009dfe47
1426275000,58,16,fe940197
1426285000,58,17,01bafef2
1426295000,58,18,ffa70127
1426305000,58,19,0100fe83
1426315000,58,20,fe080137
1426325000,58,21,0084ff31
1426335000,58,22,00590006
1426345000,58,23,ff30ffdb
1426355000,58,24,ff8c0173
1426365000,58,25,0240fe73
1426375000,58,26,fdde00ca
1426385000,58,27,00d4ff67
1426395000,58,28,001f0089
1426405000,58,29,0044fff1
1426415000,58,30,00070009
1426425000,58,31,ffedff73
1431495000,59,0,ffc9fea3
1431505000,59,1,00d0ffe7
1431515000,59,2,009f00ec
1431525000,59,3,fd51fef3
1431535000,59,4,026e001a
1431545000,59,5,fdb30074
1431555000,59,6,024affc5
1431565000,59,7,fc63fffe
1431575000,59,8,03d60113
1431585000,59,9,fd30fe5a
1431595000,59,10,019400db
1431605000,59,11,fe9a0011
1431615000,59,12,02cbffd6
1431625000,59,13,fd20016b
1431635000,59,14,0152fe94
1431645000,59,15,ff840124
1431655000,59,16,ffdffe97
1431665000,59,17,012c0225
1431675000,59,18,ff6ffef4
1431685000,59,19,006bfec9
